 l  u  v  type  shape  cells  cmssw_type  cmssw_shape  cmssw_cells  <nHitsTotal>  corrFactorTotal  <nHistsToA>  corrFactorToA  <nHitsBXM1>  corrFactorBXM1  <n32bWords>
  1   6   6   1   F 192   1   F 192  26.632200   1.000000   5.832400   1.000000   7.608200   1.000000  35.411200
  1   6   7   1   F 192   1   F 192  20.772200   1.000000   4.555800   1.000000   5.883800   1.000000  31.481400
  1   6   8   1   F 192   1   F 192  14.713400   1.000000   3.532800   1.000000   3.181000   1.000000  26.975600
  1   6   9   1   F 192   1   F 192   9.869400   1.000000   2.554200   1.000000   1.698200   1.000000  22.701600
  1   6  10   1   b 164   1   b 176   5.380400   0.958367   1.384800   0.996245   0.953600   0.999161  15.983000
  1   7   0   1   F 192   1   F 192  16.194600   1.000000   3.684000   1.000000   3.956600   1.000000  28.103800
  1   7   1   1   F 192   1   F 192  20.911200   1.000000   4.561600   1.000000   5.927800   1.000000  31.559800
  1   7   2   1   F 192   1   F 192  23.654200   1.000000   5.190800   1.000000   6.632400   1.000000  33.396800
  1   7   3   1   F 192   1   F 192  25.611600   1.000000   5.662800   1.000000   7.346000   1.000000  34.772600
  1   7   4   1   F 192   1   F 192  25.582800   1.000000   5.649800   1.000000   7.283400   1.000000  34.736800
  1   7   5   1   F 192   1   F 192  23.733400   1.000000   5.236600   1.000000   6.608400   1.000000  33.454400
  1   7   6   1   F 192   1   F 192  20.924400   1.000000   4.563600   1.000000   5.890200   1.000000  31.577200
  1   7   7   1   F 192   1   F 192  16.428600   1.000000   3.725400   1.000000   4.078600   1.000000  28.286200
  1   7   8   1   F 192   1   F 192  12.097600   1.000000   3.081800   1.000000   2.019000   1.000000  24.704000
  1   7   9   1   L 226   1   F 192   8.527800   1.177420   2.145000   1.167086   1.541800   1.142431  24.616400
  1   7  10   1   a 100   1   a 144   3.231600   0.679911   0.835400   0.736653   0.585600   0.771516   9.513600
  1   8   0   1   L 226   1   F 192   9.538200   1.176889   2.389400   1.176948   1.696200   1.148096  25.801800
  1   8   1   1   F 192   1   F 192  12.039400   1.000000   3.019000   1.000000   1.998200   1.000000  24.674400
  1   8   2   1   F 192   1   F 192  14.757000   1.000000   3.529800   1.000000   3.158400   1.000000  26.970200
  1   8   3   1   F 192   1   F 192  16.361000   1.000000   3.776800   1.000000   3.935600   1.000000  28.245000
  1   8   4   1   F 192   1   F 192  17.156200   1.000000   3.843800   1.000000   4.258200   1.000000  28.791600
  1   8   5   1   F 192   1   F 192  16.455000   1.000000   3.772200   1.000000   3.963800   1.000000  28.296400
  1   8   6   1   F 192   1   F 192  14.714400   1.000000   3.541600   1.000000   3.181800   1.000000  26.943600
  1   8   7   1   F 192   1   F 192  12.028600   1.000000   3.070400   1.000000   1.989600   1.000000  24.615000
  1   8   8   1   L 226   1   F 192   9.416000   1.175977   2.409600   1.173058   1.684200   1.144045  25.657000
  1   8   9   1   F 192   1   F 192   6.809000   1.000000   1.727200   1.000000   1.293800   1.000000  19.306800
  1   9   1   1   F 192   1   F 192   6.847800   1.000000   1.751000   1.000000   1.270800   1.000000  19.328800
  1   9   2   1   L 226   1   F 192   8.532000   1.177684   2.160400   1.166636   1.584200   1.145815  24.636600
  1   9   3   1   F 192   1   F 192   9.954600   1.000000   2.567600   1.000000   1.757200   1.000000  22.814800
  1   9   4   1   F 192   1   F 192  10.703600   1.000000   2.715000   1.000000   1.871600   1.000000  23.460000
  1   9   5   1   F 192   1   F 192  10.727800   1.000000   2.709800   1.000000   1.879800   1.000000  23.488200
  1   9   6   1   F 192   1   F 192   9.959600   1.000000   2.517800   1.000000   1.725000   1.000000  22.787200
  1   9   7   1   L 226   1   F 192   8.468600   1.177644   2.177000   1.167111   1.525000   1.140984  24.535200
  1   9   8   1   b 164   1   F 192   5.849600   0.856947   1.525400   0.929330   1.094400   0.954678  15.688000
  1  10   3   1   a 100   1   a 142   3.257600   0.708067   0.832600   0.749460   0.590400   0.778117   9.708600
  1  10   4   1   b 164   1   b 178   5.367800   0.941056   1.362600   0.992514   0.998200   0.997395  15.819600
  1  10   5   1   d 100   1   d 186   3.661600   0.566474   0.936600   0.703182   0.674000   0.737389   9.399800
  1  10   6   1   b 164   1   b 176   5.368800   0.957756   1.405400   0.996442   0.969400   0.998762  15.936400
  1  10   7   1   a 100   1   a 144   3.141000   0.678637   0.777000   0.748263   0.589600   0.768996   9.439600
  2   1   2   0   d 160   0   d 157  90.017800   1.021038  16.019000   1.002085  39.746000   1.023766  79.925800
  2   1   3   0   F 432   0   F 432 190.852600   1.000000  25.677800   1.000000  64.455000   1.000000 154.398200
  2   1   4   0   F 432   0   F 432 100.778200   1.000000  10.118200   1.000000  23.464000   1.000000  92.387600
  2   1   5   0   F 432   0   F 432  56.736800   1.000000   4.942000   1.000000  11.221800   1.000000  65.803600
  2   1   6   1   F 192   1   F 192  34.619600   1.000000   9.231800   1.000000  11.409200   1.000000  41.863800
  2   1   7   1   F 192   1   F 192  21.290400   1.000000   5.552800   1.000000   6.776000   1.000000  32.524600
  2   1   8   1   F 192   1   F 192  12.451800   1.000000   3.641800   1.000000   2.975600   1.000000  25.540000
  2   1   9   1   a 100   1   F 192   3.993600   0.562750   1.221800   0.667867   0.903200   0.700177   9.625000
  2   2   0   0   g 307   0   g 294 167.858200   1.044272  28.290400   1.043478  70.590800   1.044102 145.112200
  2   2   1   0   d 160   0   d 157  89.906400   1.021113  15.862400   1.001904  39.724600   1.023824  79.794000
  2   2   2   0   g 307   0   g 293 165.583600   1.047912  28.301800   1.046372  70.275200   1.047525 144.124400
  2   2   3   0   F 432   0   F 432 191.360400   1.000000  25.698400   1.000000  64.613800   1.000000 154.634800
  2   2   4   0   F 432   0   F 432 109.583000   1.000000  11.196200   1.000000  26.481800   1.000000  97.998000
  2   2   5   0   F 432   0   F 432  63.944400   1.000000   5.663000   1.000000  12.964400   1.000000  70.055600
  2   2   6   1   F 192   1   F 192  40.634600   1.000000   6.859000   1.000000  13.223600   1.000000  44.104200
  2   2   7   1   F 192   1   F 192  24.503600   1.000000   6.415000   1.000000   7.927400   1.000000  34.758000
  2   2   8   1   F 192   1   F 192  15.366000   1.000000   4.169400   1.000000   4.394200   1.000000  28.106800
  2   2   9   1   F 192   1   F 192   8.770000   1.000000   2.672800   1.000000   1.937600   1.000000  21.724000
  2   3   0   0   F 432   0   F 432 150.104800   1.000000  17.472000   1.000000  43.180200   1.000000 125.378000
  2   3   1   0   F 432   0   F 432 191.109200   1.000000  25.418600   1.000000  64.584600   1.000000 154.398600
  2   3   2   0   F 432   0   F 432 190.990000   1.000000  25.534600   1.000000  64.655200   1.000000 154.436000
  2   3   3   0   F 432   0   F 432 150.185600   1.000000  17.486800   1.000000  42.945800   1.000000 125.423800
  2   3   4   0   F 432   0   F 432 100.563600   1.000000   9.953800   1.000000  23.500400   1.000000  92.100200
  2   3   5   0   F 432   0   F 432  64.114600   1.000000   5.717400   1.000000  12.875600   1.000000  70.108800
  2   3   6   1   F 192   1   F 192  42.729400   1.000000   7.271600   1.000000  13.963000   1.000000  45.532400
  2   3   7   1   F 192   1   F 192  26.498000   1.000000   6.938200   1.000000   8.660400   1.000000  36.141800
  2   3   8   1   F 192   1   F 192  17.150600   1.000000   4.565000   1.000000   5.220600   1.000000  29.460600
  2   3   9   1   L 226   1   F 192   9.804800   1.175995   2.968200   1.181120   2.145400   1.168640  26.431000
  2   4   0   0   F 432   0   F 432  79.006200   1.000000   7.328600   1.000000  16.910200   1.000000  79.025200
  2   4   1   0   F 432   0   F 432 100.205400   1.000000   9.943400   1.000000  23.514400   1.000000  91.951000
  2   4   2   0   F 432   0   F 432 109.334600   1.000000  11.254800   1.000000  26.581800   1.000000  97.827000
