 l  u  v  type  shape  cells  cmssw_type  cmssw_shape  cmssw_cells  <nHitsTotal>  corrFactorTotal  <nHistsToA>  corrFactorToA  <nHitsBXM1>  corrFactorBXM1  <n32bWords>
  1   6   6   1   F 192   1   F 192  24.800600   1.000000   3.081200   1.000000   6.853600   1.000000  33.027400
  1   6   7   1   F 192   1   F 192  19.470200   1.000000   2.400400   1.000000   5.252400   1.000000  29.564200
  1   6   8   1   F 192   1   F 192  13.042800   1.000000   3.196600   1.000000   2.167000   1.000000  25.406400
  1   6   9   1   F 192   1   F 192  10.020600   1.000000   2.492600   1.000000   1.739600   1.000000  22.817600
  1   6  10   1   b 164   1   d 164   5.369800   1.000000   1.408000   1.000000   1.006600   1.000000  16.119400
  1   7   0   1   F 192   1   F 192  16.338000   1.000000   1.981000   1.000000   4.401400   1.000000  27.539400
  1   7   1   1   F 192   1   F 192  19.519600   1.000000   2.447000   1.000000   5.260800   1.000000  29.608200
  1   7   2   1   F 192   1   F 192  22.207800   1.000000   2.781600   1.000000   6.081400   1.000000  31.367600
  1   7   3   1   F 192   1   F 192  23.944400   1.000000   2.971000   1.000000   6.555000   1.000000  32.433000
  1   7   4   1   F 192   1   F 192  24.004800   1.000000   2.989200   1.000000   6.597800   1.000000  32.520600
  1   7   5   1   F 192   1   F 192  22.129400   1.000000   2.766800   1.000000   5.940400   1.000000  31.270800
  1   7   6   1   F 192   1   F 192  19.380000   1.000000   2.390800   1.000000   5.261800   1.000000  29.520200
  1   7   7   1   F 192   1   F 192  16.172800   1.000000   1.930200   1.000000   4.385400   1.000000  27.419000
  1   7   8   1   F 192   1   F 192  11.692000   1.000000   2.869000   1.000000   1.897600   1.000000  24.315200
  1   7   9   1   L 226   1   F 192   8.518800   1.177349   2.104600   1.165162   1.495800   1.137719  24.586400
  1   7  10   1   a 100   1   a 100   3.190800   1.000000   0.818000   1.000000   0.622600   1.000000  10.773800
  1   8   0   1   L 226   1   F 192   9.388800   1.176338   2.368200   1.170678   1.632800   1.145884  25.631200
  1   8   1   1   F 192   1   F 192  11.653800   1.000000   2.896800   1.000000   1.969200   1.000000  24.307200
  1   8   2   1   F 192   1   F 192  13.226600   1.000000   3.292000   1.000000   2.180600   1.000000  25.663400
  1   8   3   1   F 192   1   F 192  16.273000   1.000000   2.001600   1.000000   4.353400   1.000000  27.532800
  1   8   4   1   F 192   1   F 192  16.976800   1.000000   2.066600   1.000000   4.570400   1.000000  27.947800
  1   8   5   1   F 192   1   F 192  16.444800   1.000000   2.026200   1.000000   4.416400   1.000000  27.624000
  1   8   6   1   F 192   1   F 192  13.106600   1.000000   3.242400   1.000000   2.162000   1.000000  25.506400
  1   8   7   1   F 192   1   F 192  11.643000   1.000000   2.833600   1.000000   1.990400   1.000000  24.284800
  1   8   8   1   L 226   1   F 192   9.509800   1.175945   2.359600   1.171300   1.631000   1.145064  25.733400
  1   8   9   1   F 192   1   F 192   6.687600   1.000000   1.714000   1.000000   1.198400   1.000000  19.165400
  1   9   1   1   F 192   1   F 192   6.677600   1.000000   1.711800   1.000000   1.246400   1.000000  19.127200
  1   9   2   1   L 226   1   F 192   8.449200   1.177626   2.125400   1.163546   1.520800   1.139663  24.521600
  1   9   3   1   F 192   1   F 192   9.938000   1.000000   2.488000   1.000000   1.725800   1.000000  22.713600
  1   9   4   1   F 192   1   F 192  10.556400   1.000000   2.646000   1.000000   1.808000   1.000000  23.313200
  1   9   5   1   F 192   1   F 192  10.684000   1.000000   2.665800   1.000000   1.834000   1.000000  23.403200
  1   9   6   1   F 192   1   F 192   9.865400   1.000000   2.470400   1.000000   1.708000   1.000000  22.661600
  1   9   7   1   L 226   1   F 192   8.432600   1.177549   2.101600   1.166635   1.482200   1.134800  24.464600
  1   9   8   1   b 164   1   F 164   5.795400   1.000000   1.484200   1.000000   1.092600   1.000000  16.674800
  1  10   3   1   a 100   1   a  92   3.109000   1.046253   0.832400   1.005766   0.585000   1.002393  10.742200
  1  10   4   1   b 164   1   d 164   5.368400   1.000000   1.456400   1.000000   1.008000   1.000000  16.108400
  1  10   5   1   d 100   1   d  93   3.486600   1.030632   0.941800   1.001911   0.644400   1.000931  11.224800
  1  10   6   1   b 164   1   d 164   5.361200   1.000000   1.421400   1.000000   1.030600   1.000000  16.133200
  1  10   7   1   a 100   1   a 100   3.166400   1.000000   0.814600   1.000000   0.615000   1.000000  10.758000
  2   1   2   0   d 160   0   g 162 104.973400   0.990142  19.199600   0.999948  48.816600   0.983448  88.984600
  2   1   3   0   F 432   0   F 432 182.615000   1.000000  25.648400   1.000000  60.612600   1.000000 149.339800
  2   1   4   0   F 432   0   F 432  96.054800   1.000000  10.355800   1.000000  22.634000   1.000000  89.860200
  2   1   5   1   F 192   1   F 192  54.110600   1.000000  10.325600   1.000000  17.166200   1.000000  53.453200
  2   1   6   1   F 192   1   F 192  33.130000   1.000000   5.757600   1.000000  10.851000   1.000000  39.291400
  2   1   7   1   F 192   1   F 192  20.493800   1.000000   3.562400   1.000000   6.491000   1.000000  31.024400
  2   1   8   1   F 192   1   F 192  11.726800   1.000000   3.620600   1.000000   2.475000   1.000000  24.834600
  2   1   9   1   a 100   1   F  92   3.834200   1.058161   1.183000   1.007101   0.867000   1.003460  11.716600
  2   2   0   0   g 307   0   a 288 171.264800   1.065927  28.842800   1.067012  73.845200   1.065854 150.428800
  2   2   1   0   d 160   0   g 162 104.990000   0.990092  19.235600   0.999917  48.778600   0.983370  89.004000
  2   2   2   0   g 307   0   a 300 180.409600   1.023229  30.638400   1.028768  78.863800   1.023702 152.141400
  2   2   3   0   F 432   0   F 432 182.397200   1.000000  25.630400   1.000000  60.633600   1.000000 149.271600
  2   2   4   0   F 432   0   F 432 104.317200   1.000000  11.522400   1.000000  25.620400   1.000000  95.275800
  2   2   5   0   F 432   0   F 432  61.145600   1.000000   5.897000   1.000000  12.715200   1.000000  68.765800
